Resource ID,Resource Type,Account ID,Region,Resource Name,Tags
Z0677084LXIYLPAGQW1P,AWS::Route53::HostedZone,215247467417,us-east-1,joinglobelifeinsurancenow.com.,
Z06774041BJJNEJ80MPPC,AWS::Route53::HostedZone,215247467417,us-east-1,lifeinsuranceoffer.com.,
Z06774291WWATY7NYKLZI,AWS::Route53::HostedZone,215247467417,us-east-1,onedollaremailoffer-globelife6.com.,
Z06774381C7UYHD0O9ZI5,AWS::Route53::HostedZone,215247467417,us-east-1,onedollarbuysglobelife.com.,
Z06779281IZGPAKZKWQSG,AWS::Route53::HostedZone,215247467417,us-east-1,onedollarlife.com.,
Z06779352GDTV0WLN3EP8,AWS::Route53::HostedZone,215247467417,us-east-1,purchaseglobetoday.com.,
Z0677969D7CUW5PXVV7P,AWS::Route53::HostedZone,215247467417,us-east-1,securewithglobe.com.,
Z06780033HRE532JDPAUA,AWS::Route53::HostedZone,215247467417,us-east-1,startgl0belife.com.,
Z0690490VF7Y68FWOEZ1,AWS::Route53::HostedZone,641309396896,us-east-1,prv.globelifetesting.net.,
Z06945555PSIVEY48YGT,AWS::Route53::HostedZone,488433867104,us-east-1,gmadmarketing.com.,
Z06947622Z7ARX4EHYS82,AWS::Route53::HostedZone,488433867104,us-east-1,globelifetestingapp.net.,
Z06968951YEOQAS6LF15U,AWS::Route53::HostedZone,215247467417,us-east-1,moreinformationon-globelife.com.,
Z0697238QY7S5I1BCU9W,AWS::Route53::HostedZone,215247467417,us-east-1,startlifeinsurance.com.,
Z06972732ZXWSMLL0Z0GR,AWS::Route53::HostedZone,215247467417,us-east-1,globelifeapply.com.,
Z06977662PE93YQJ93KC3,AWS::Route53::HostedZone,215247467417,us-east-1,globelifeinsurancefor-less.com.,
Z06981131G1ZI9FXG0FO3,AWS::Route53::HostedZone,215247467417,us-east-1,startonedollarinsurance.com.,
Z06981603JE4SG58DE08F,AWS::Route53::HostedZone,215247467417,us-east-1,globelifetraffic.com.,
Z06981671WZV5NV5TPII1,AWS::Route53::HostedZone,215247467417,us-east-1,purchaseglobenow.com.,
Z06983752ZGQ32BUSWNU2,AWS::Route53::HostedZone,215247467417,us-east-1,globelife-insuranceforless.com.,
Z0698567214OB8QCOQDA6,AWS::Route53::HostedZone,215247467417,us-east-1,securewithglobeinsurance.com.,
Z06986441VN02JVM9YP5T,AWS::Route53::HostedZone,215247467417,us-east-1,joinglobetoday.com.,
