,Name,Type,TTL,Value
0,_305c57a6d1f23b27f9234b9f27709ba0.nbuwintegration.bfx.globelifeinc.com.,CNAME,300,_c5df24306f282313a1f65f2e67e45f8b.ymrbdtpxcr.acm-validations.aws.
1,api.nbuwintegration.bfx.globelifeinc.com.,A,N/A,d-xn6sl6eu7j.execute-api.us-west-2.amazonaws.com.
