AccountID,ClusterName,DBInstanceName,Engine,AuditLogsEnabled,CloudWatchEnabled
792449926040,awtmdvailsql01,awtmdvailsql01-instance-1,aurora-mysql,False,True
856695471500,cdm-staging-cluster,cdm-staging-1,aurora-mysql,False,True
856695471500,cdm-staging-cluster,cdm-staging-2,aurora-mysql,False,True
856695471500,cdm-staging-ppd,cdm-staging-ppd-1,aurora-mysql,False,True
856695471500,cdm-staging-ppd,cdm-staging-ppd-2,aurora-mysql,False,True
856695471500,cdm-test-aurora-pg-actuarial,cdm-test-aurora-pg-actuarial-1,aurora-postgresql,False,True
856695471500,cdm-test-aurora-pg-idm,cdm-test-aurora-pg-idm-1,aurora-postgresql,False,True
387195569436,awtmdvconsql01,awtmdvconsql01-instance-1,aurora-mysql,False,True
861087404736,standalone,awtmprtglaprds01,mysql,False,True
440535933603,standalone,ctm-app-dbserver,postgres,False,True
440535933603,standalone,em-app-dbserver,postgres,False,True
620669386024,ipep-app-dbserver,ipep-app-dbs-ins-1-stg,aurora-mysql,False,False
723219059542,standalone,awtmsprcesql01,sqlserver-se,False,False
